Product_Code,UPC,Quantity,Price,Line_Amount,Invoice_Amount,Subtotal,Total_Tax,Seller_Name,Seller_Address,Buyer_Name,Buyer_Address,Invoice_Number,Invoice_Date,Seller_Phone,Seller_Email,Po_Number,Seller_Website,Seller_Fax_Number,Shipto_Name,Shipto_Address,Description
12215,857908000225,,12.15,583.20,"12,121.95",,,,AKASH118 Page 1 Vendor Information Store Address,ANDY'S WHOLESALE INC,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,"14,744.70",,,COKE CANS 120Z 24CT 120Z
2755,708926561116,,12.15,60.75,"12,121.95",,,,,sales.andyswholesaleinc@gmail.com Account,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,690.48,,,DIET COKE CAN 120Z (96 PAL) 12PK 120Z
10076,708926561314,,17.00,85.00,"12,121.95",,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Z 5 5 0 1215 6075 2755 COKE 2 LITER 2LITER 8CT
12216,708926562113,,29.00,348.00,"12,121.95",,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MEXICAN COKE BIG 170Z 24CT 170Z
14747,708926562311,,29.00,348.00,"2,940.00",,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MEXICAN FANTA REG 500ML (48P500ML 24CS/48PAL
3709,708926565244,,16.50,693.00,"15,435.18",,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,BODY ARMOR 16OZ 12CT 1CASE 16OZ
8260,708926565213,,16.00,384.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,DASANI 1 LITER 12CT 1LTR
14553,708926563042,,17.00,340.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SMART WATER 1LTR 1LTR 12CTS
11692,708926563219,,15.00,360.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SMART WATER 1LTR 1LTR 12CTS
11710,708926701116,,26.00,624.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,VITAMIN WATER 12CT 12CT 20OZ
11727,708926701314,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,VITAMIN WATER 12CT 12CT 20OZ
11707,708926701215,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SPRITE ORIGINAL 200Z (24CT/42/24CT 200Z
12069,,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,FANTA 200Z ORANGE (24CT/42P/24CT 200Z
11702,,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,FANTA 200Z PINEAPP (24CT/42PA24CT 200Z
2933,,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,FANTA 200Z GRAPE (24CT/42PAL24CT 200Z
11694,,,26.00,624.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,FANTA STRAW 200Z 24CT 200Z
11705,,,26.00,156.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MR PIBB ORIGINAL 200Z (24CT/4224CT 200Z
11695,,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,COKE ORIGINAL 200Z (24CT/42P/200Z 24CT
11724,,,26.00,156.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,COKE DIET 200Z (24CT/42PAL)
11698,,,26.00,156.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SPRITE ZERO 200Z (24CT/42PAL)24CT 200Z
11726,,,26.00,156.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,CO 11695 COKE ZERO 200Z (24CT/42PAL) 24CT 200Z
11412,,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,FANTA 200Z PEACH (24CT/42PAL24CT 200Z
9725,,,26.00,"1,716.00",,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SPRITE TROPICAL 200Z (24CT/4224CT 200Z
12219,,,17.00,408.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,FANTA 200Z PINA (24CT/42PAL) 24CT 20 OZ
12236,,,20.50,410.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MINUTE MAID 200Z 24CT 200Z
12215,,,14.50,261.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,DASANI 200Z 1PK 24CT
2755,,,28.00,168.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SMART WATER 15L 1PK 12CT
10076,,,28.00,336.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SMART WATER 15L 1PK 12CT
12216,,,28.00,336.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,GOLD PEAK TEA 1/12CT 1850Z
14747,,,30.50,305.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MEX FANTA PINEAPPLE 355ML (4824CS/48PAL355ML
3709,,,22.00,924.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MEX SPRITE REG SMALL 355ML 424CS/48PAL355ML
8260,,,12.15,583.20,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MEX COKE REG SMALL 355ML (4824CS/48PAL12OZ/355ML
14553,,,12.15,60.75,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SMART WATER 700ML 24CT 700ML
11692,,,17.00,85.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,BODY ARMOR 28 OZ 1CASE 280Z
11710,,,29.00,348.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,COKE CANS 120Z 24CT 120Z
11727,,,29.00,348.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,DIET COKE CAN 120Z (96 PAL) 12PK 120Z
11707,,,16.50,693.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Z 5 5 0 1215 6075 2755 COKE 2 LITER 2LITER 8CT
12069,,,16.00,384.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MEXICAN COKE BIG 170Z 24CT 170Z
11702,,,17.00,340.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MEXICAN FANTA REG 500ML (48P500ML 24CS/48PAL
2933,,,15.00,360.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,BODY ARMOR 16OZ 12CT 1CASE 16OZ
11694,,,26.00,624.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,DASANI 1 LITER 12CT 1LTR
11705,,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SMART WATER 1LTR 1LTR 12CTS
11695,,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SMART WATER 1LTR 1LTR 12CTS
11724,,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,VITAMIN WATER 12CT 12CT 20OZ
11698,,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,VITAMIN WATER 12CT 12CT 20OZ
11726,,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SPRITE ORIGINAL 200Z (24CT/42/24CT 200Z
14390,,,26.00,624.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,FANTA 200Z ORANGE (24CT/42P/24CT 200Z
1441,,,26.00,156.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,FANTA 200Z PINEAPP (24CT/42PA24CT 200Z
DASANI,,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,FANTA 200Z GRAPE (24CT/42PAL24CT 200Z
11412,,,26.00,156.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,FANTA STRAW 200Z 24CT 200Z
9725,,,26.00,156.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MR PIBB ORIGINAL 200Z (24CT/4224CT 200Z
12219,,,26.00,156.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,COKE ORIGINAL 200Z (24CT/42P/200Z 24CT
12236,,,26.00,312.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,COKE DIET 200Z (24CT/42PAL)
1824,,,26.00,"1,716.00",,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SPRITE ZERO 200Z (24CT/42PAL)24CT 200Z
9219,,,17.00,408.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,CO 11695 COKE ZERO 200Z (24CT/42PAL) 24CT 200Z
14748,,,20.50,410.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,FANTA 200Z PEACH (24CT/42PAL24CT 200Z
22252,,,14.50,261.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SPRITE TROPICAL 200Z (24CT/4224CT 200Z
206301,,,28.00,168.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,FANTA 200Z PINA (24CT/42PAL) 24CT 20 OZ
206312,,,28.00,336.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MINUTE MAID 200Z 24CT 200Z
206303,,,28.00,336.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,DASANI 200Z 1PK 24CT
206314,,,30.50,305.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SMART WATER 15L 1PK 12CT
206305,,,22.00,924.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SMART WATER 15L 1PK 12CT
206316,,,26.69,800.70,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,GOLD PEAK TEA 1/12CT 1850Z
